Dest,ArrDelayMinutes,Diverted,Cancelled,WeatherDelay,temp,dewpoint,wind,precip,alti,vis,cloudCoverage,cloudAlt,weather,ice
LAX,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.95,10.0,CLR,0.0,0,0.0
LAX,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,29.99,10.0,CLR,0.0,0,0.0
MCI,0.0,0.0,0.0,0.0,52.0,48.9,32.0,0.23,29.82,3.0,SCT,4100.0,RA BR,0.0
MCI,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,29.81,10.0,OVC,3800.0,0,0.0
MDW,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.08,10.0,FEW,1800.0,0,0.0
MDW,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.18,10.0,SCT,2100.0,0,0.0
MKE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.08,10.0,0,0.0,0,0.0
MSY,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.93,10.0,CLR,0.0,0,0.0
OAK,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.15,10.0,CLR,0.0,0,0.0
OAK,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.19,10.0,FEW,999.0,0,0.0
OAK,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.11,10.0,CLR,0.0,0,0.0
OKC,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.86,10.0,CLR,0.0,0,0.0
ONT,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.95,10.0,CLR,0.0,0,0.0
ONT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.02,10.0,CLR,0.0,0,0.0
RNO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.26,10.0,CLR,0.0,0,0.0
SAN,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.02,10.0,CLR,0.0,0,0.0
SAN,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.02,10.0,CLR,0.0,0,0.0
SAN,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.95,10.0,CLR,0.0,0,0.0
SAT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.87,10.0,CLR,0.0,0,0.0
SEA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.15,10.0,SCT,12000.0,0,0.0
SFO,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.11,10.0,0,0.0,0,0.0
SJC,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.12,10.0,FEW,5000.0,0,0.0
SJC,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.12,10.0,FEW,5500.0,0,0.0
SLC,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.28,10.0,CLR,0.0,0,0.0
SMF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.04,10.0,CLR,0.0,0,0.0
SMF,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.03,10.0,CLR,0.0,0,0.0
SNA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.01,10.0,FEW,1699.0,0,0.0
SNA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.98,10.0,CLR,0.0,0,0.0
STL,0.0,0.0,0.0,0.0,59.0,55.9,10.0,0.0,29.85,9.0,OVC,4500.0,-RA,0.0
ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.01,10.0,CLR,0.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,29.76,10.0,CLR,0.0,0,0.0
DAL,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.7,10.0,CLR,0.0,0,0.0
LAS,16.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,CLR,0.0,0,0.0
MCO,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.04,10.0,CLR,0.0,0,0.0
MCO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.99,10.0,CLR,0.0,0,0.0
MDW,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.07,10.0,FEW,1800.0,0,0.0
MDW,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.16,10.0,BKN,1699.0,0,0.0
TPA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.05,10.0,CLR,0.0,0,0.0
DAL,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,29.77,10.0,CLR,0.0,0,0.0
HOU,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.84,10.0,CLR,0.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.75,10.0,CLR,0.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.73,10.0,FEW,10000.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.89,10.0,CLR,0.0,0,0.0
MCO,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.95,10.0,CLR,0.0,0,0.0
MDW,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.12,10.0,FEW,2100.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,29.79,10.0,CLR,0.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.76,10.0,CLR,0.0,0,0.0
ATL,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.9,10.0,CLR,0.0,0,0.0
BNA,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.03,10.0,OVC,5500.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,29.75,10.0,FEW,7999.0,0,0.0
BWI,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,29.87,10.0,CLR,0.0,0,0.0
BWI,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.73,10.0,CLR,0.0,0,0.0
MDW,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.13,10.0,FEW,1800.0,0,0.0
MDW,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.16,10.0,BKN,1699.0,0,0.0
ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.01,10.0,CLR,0.0,0,0.0
ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.94,10.0,SCT,4300.0,0,0.0
LAS,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,CLR,0.0,0,0.0
LAS,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,CLR,0.0,0,0.0
LAS,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,CLR,0.0,0,0.0
