Dest,ArrDelayMinutes,Diverted,Cancelled,WeatherDelay,temp,dewpoint,wind,precip,alti,vis,cloudCoverage,cloudAlt,weather,ice
DCA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.95,10.0,SCT,9500.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.83,10.0,OVC,1500.0,0,0.0
DCA,236.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.53,8.0,BKN,400.0,0,0.0
DCA,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.01,29.59,6.0,FEW,1999.0,-RA BR,0.0
DCA,24.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,29.89,10.0,SCT,5000.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.79,10.0,OVC,2300.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.82,10.0,CLR,0.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.9,10.0,OVC,5000.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.07,10.0,CLR,0.0,0,0.0
BUF,276.0,0.0,0.0,0.0,0.0,0.0,8.0,0.01,29.41,2.0,OVC,900.0,-FZDZ BR,0.0
BUF,0.0,0.0,1.0,0.0,26.1,23.0,7.0,1.0E-4,29.37,5.0,SCT,600.0,-FZDZPL BR,1.0E-4
BUF,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.21,9.0,BKN,1600.0,-SN,0.0
BUF,29.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,29.9,10.0,BKN,1699.0,0,0.0
BUF,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,10.0,CLR,0.0,0,0.0
BUF,173.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,29.95,5.0,SCT,700.0,-SN,0.0
BUF,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.52,10.0,CLR,0.0,0,0.0
BUF,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.14,10.0,SCT,7000.0,0,0.0
BUF,39.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.25,10.0,CLR,0.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,29.94,10.0,FEW,999.0,0,0.0
BUF,24.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.39,9.0,BKN,3700.0,-SN,0.0
BUF,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.47,9.0,FEW,4900.0,0,0.0
BUF,81.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.3,10.0,CLR,0.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.14,10.0,CLR,0.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.88,10.0,CLR,0.0,0,0.0
BUF,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.9,10.0,OVC,600.0,0,0.0
BUF,231.0,0.0,0.0,0.0,0.0,0.0,5.0,0.08,29.55,6.0,BKN,400.0,-RA BR,0.0
BUF,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,29.49,1.75,BKN,300.0,-SN BR,0.0
BUF,4.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,29.74,2.0,BKN,2700.0,-SN,0.0
BUF,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.99,2.0,BKN,1900.0,-SN,0.0
SYR,0.0,0.0,0.0,0.0,30.9,25.0,3.0,0.0,29.99,10.0,SCT,1500.0,0,0.0
SYR,58.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.2,4.0,FEW,1699.0,-SN,0.0
DCA,79.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.75,10.0,SCT,7999.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.9,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,51.1,46.0,0.0,1.0E-4,29.88,10.0,BKN,8000.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,10.0,OVC,1699.0,0,0.0
DCA,0.0,0.0,0.0,0.0,41.0,39.2,5.0,0.0,29.7,10.0,OVC,800.0,0,0.0
DCA,90.0,0.0,0.0,0.0,46.9,42.1,18.0,0.11,29.14,4.0,FEW,2100.0,RA,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.52,10.0,CLR,0.0,0,0.0
DCA,45.0,0.0,0.0,0.0,0.0,0.0,11.0,0.01,30.2,10.0,OVC,7999.0,-RA,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.96,2.0,OVC,800.0,BR,0.0
DCA,152.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.27,10.0,CLR,0.0,0,0.0
DCA,204.0,0.0,0.0,204.0,0.0,0.0,15.0,0.02,29.63,10.0,FEW,700.0,-RA,0.0
DCA,92.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,30.33,10.0,FEW,6500.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.68,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.24,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.26,10.0,CLR,0.0,0,0.0
DCA,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.24,8.0,OVC,1100.0,0,0.0
DCA,0.0,0.0,0.0,0.0,45.0,26.1,10.0,0.0,30.31,10.0,BKN,9000.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.49,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.57,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.44,10.0,0,0.0,0,0.0
DCA,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.28,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.09,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01,29.86,5.0,BKN,800.0,-RA BR,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91,2.5,OVC,800.0,BR,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,29.76,10.0,BKN,4800.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.97,10.0,SCT,6000.0,0,0.0
