Dest,ArrDelayMinutes,Diverted,Cancelled,WeatherDelay,temp,dewpoint,wind,precip,alti,vis,cloudCoverage,cloudAlt,weather,ice
MCO,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.14,10.0,SCT,1699.0,0,0.0
BOS,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.25,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,30.39,10.0,CLR,0.0,0,0.0
PHX,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07,10.0,CLR,0.0,0,0.0
FLL,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,10.0,CLR,0.0,0,0.0
PHL,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.47,10.0,FEW,6000.0,0,0.0
PBI,47.0,0.0,0.0,0.0,75.0,69.1,10.0,0.0,30.18,10.0,BKN,800.0,0,0.0
RSW,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.2,10.0,BKN,900.0,0,0.0
SMF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.07,10.0,CLR,0.0,0,0.0
HPN,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.28,10.0,CLR,0.0,0,0.0
MCO,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.27,10.0,OVC,2400.0,0,0.0
RIC,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.41,10.0,OVC,7999.0,0,0.0
FLL,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.08,10.0,OVC,4600.0,0,0.0
LGB,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.02,10.0,CLR,0.0,0,0.0
JFK,36.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.28,10.0,CLR,0.0,0,0.0
RDU,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.35,10.0,CLR,0.0,0,0.0
JFK,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,30.54,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,30.53,10.0,CLR,0.0,0,0.0
PVD,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.25,10.0,CLR,0.0,0,0.0
FLL,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.09,10.0,FEW,4200.0,0,0.0
LGA,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.54,10.0,CLR,0.0,0,0.0
FLL,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.16,10.0,FEW,2200.0,0,0.0
PDX,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.12,10.0,BKN,7999.0,0,0.0
JFK,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.09,10.0,CLR,0.0,0,0.0
JAX,38.0,0.0,0.0,0.0,52.0,46.9,3.0,0.0,30.29,10.0,CLR,0.0,0,0.0
BOS,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.27,10.0,CLR,0.0,0,0.0
RSW,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.08,10.0,CLR,0.0,0,0.0
EWR,0.0,0.0,0.0,0.0,27.0,-0.9,12.0,0.0,30.44,10.0,FEW,5000.0,0,0.0
JFK,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.58,10.0,CLR,0.0,0,0.0
BOS,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.56,10.0,CLR,0.0,0,0.0
PBI,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.09,10.0,BKN,3700.0,0,0.0
MCO,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.16,9.0,OVC,900.0,0,0.0
JFK,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.04,10.0,SCT,3800.0,0,0.0
