Dest,ArrDelayMinutes,Diverted,Cancelled,WeatherDelay,temp,dewpoint,wind,precip,alti,vis,cloudCoverage,cloudAlt,weather,ice
IAH,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.44,10.0,CLR,0.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.02,10.0,OVC,1900.0,0,0.0
LCH,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.99,10.0,CLR,0.0,0,0.0
SAV,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,29.94,10.0,SCT,3600.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43,10.0,0,0.0,0,0.0
IAD,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.4,1.5,OVC,300.0,-RA BR,0.0
PHL,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,29.92,10.0,BKN,6500.0,0,0.0
DTW,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,29.87,9.0,BKN,4500.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.37,10.0,CLR,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.31,10.0,CLR,0.0,0,0.0
DCA,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,10.0,CLR,0.0,0,0.0
IAH,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.87,9.0,SCT,1600.0,0,0.0
IAH,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.87,9.0,BKN,1600.0,0,0.0
MAF,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.97,10.0,FEW,1800.0,0,0.0
RDU,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.96,10.0,CLR,0.0,0,0.0
IAD,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,29.88,10.0,SCT,6500.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,29.87,10.0,SCT,6500.0,0,0.0
MSP,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.15,10.0,OVC,3399.0,0,0.0
MSP,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.12,10.0,SCT,12000.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.79,10.0,CLR,0.0,0,0.0
PHL,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.95,10.0,SCT,9500.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.8,10.0,BKN,2300.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.78,10.0,CLR,0.0,0,0.0
BRO,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,29.91,10.0,BKN,2300.0,0,0.0
ONT,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.21,10.0,CLR,0.0,0,0.0
TUS,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.18,10.0,CLR,0.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.92,10.0,SCT,11000.0,0,0.0
SAV,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,30.23,10.0,SCT,3900.0,0,0.0
ELP,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.89,10.0,FEW,4100.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.89,8.0,SCT,1699.0,0,0.0
MKE,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.02,10.0,BKN,1500.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.91,10.0,0,0.0,0,0.0
TUL,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.69,10.0,0,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.38,10.0,CLR,0.0,0,0.0
OKC,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.26,10.0,OVC,7999.0,0,0.0
DSM,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.39,10.0,CLR,0.0,0,0.0
LGA,0.0,0.0,0.0,0.0,39.0,10.9,10.0,0.0,29.81,10.0,BKN,7000.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.98,4.0,OVC,900.0,HZ,0.0
GRR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.17,10.0,CLR,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,51.1,30.0,0.0,0.0,30.32,10.0,CLR,0.0,0,0.0
RDU,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.32,10.0,CLR,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.04,10.0,0,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.33,10.0,CLR,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.46,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.87,10.0,0,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33,10.0,CLR,0.0,0,0.0
IAH,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.09,5.0,OVC,400.0,BR,0.0
ELP,0.0,0.0,0.0,0.0,50.0,10.0,7.0,0.0,30.32,10.0,BKN,25000.0,0,0.0
OKC,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.88,10.0,CLR,0.0,0,0.0
IAH,138.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.88,10.0,CLR,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.21,10.0,SCT,2700.0,0,0.0
CHS,0.0,0.0,0.0,0.0,46.9,37.0,5.0,0.0,30.36,10.0,BKN,3600.0,0,0.0
TUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.19,10.0,CLR,0.0,0,0.0
GUC,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.08,10.0,CLR,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.28,10.0,BKN,7500.0,0,0.0
IAH,50.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.91,6.0,BKN,900.0,BR,0.0
PHL,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01,29.9,4.0,OVC,400.0,-RA BR,0.0
MKE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.06,10.0,FEW,3000.0,0,0.0
ELP,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.97,10.0,0,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.03,5.0,OVC,499.0,BR,0.0
PSP,0.0,0.0,0.0,0.0,73.0,26.1,6.0,0.0,30.01,10.0,CLR,0.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,30.01,10.0,BKN,6000.0,0,0.0
LGA,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.78,10.0,OVC,6000.0,0,0.0
IAH,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.84,7.0,OVC,1999.0,0,0.0
HSV,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.97,10.0,BKN,1800.0,-RA,0.0
SYR,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.9,10.0,OVC,6000.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.75,5.0,OVC,800.0,BR,0.0
RDU,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.19,29.45,3.0,FEW,499.0,RA BR,0.0
IAH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.82,10.0,CLR,0.0,0,0.0
IAH,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.24,10.0,BKN,999.0,0,0.0
STL,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.66,9.0,SCT,2600.0,-SN,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.38,10.0,CLR,0.0,0,0.0
IAH,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.15,4.0,OVC,499.0,BR,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,29.8,10.0,SCT,5500.0,0,0.0
ATL,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.83,10.0,SCT,2600.0,0,0.0
PIT,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.02,2.5,BKN,700.0,-RA BR,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,30.03,10.0,CLR,0.0,0,0.0
LGA,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,OVC,6000.0,0,0.0
HSV,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.2,10.0,CLR,0.0,0,0.0
TYS,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.97,9.0,OVC,3600.0,-SN,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.9,10.0,0,0.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.92,10.0,0,0.0,0,0.0
MFE,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.02,10.0,CLR,0.0,0,0.0
MFE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.99,10.0,CLR,0.0,0,0.0
LGA,58.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.39,3.0,OVC,400.0,-RA BR,0.0
CLT,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.81,10.0,BKN,1400.0,0,0.0
PIT,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.75,10.0,OVC,2700.0,0,0.0
DAY,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.76,1.0,BKN,600.0,-RA BR,0.0
CLE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.82,7.0,OVC,600.0,0,0.0
IAH,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.97,10.0,CLR,0.0,0,0.0
IAH,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.03,10.0,FEW,2500.0,0,0.0
TUS,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.96,10.0,CLR,0.0,0,0.0
CVG,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.04,10.0,BKN,9500.0,0,0.0
JAX,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.11,10.0,SCT,900.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.29,10.0,FEW,12000.0,0,0.0
IAD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.22,10.0,CLR,0.0,0,0.0
